谜面,谜底,提示
谜面：大家乐意AA制 （打三字花卉）,谜底：合欢花,小贴士：谜底别解为“合伙花钱欢喜”。
谜面：与子牙不熟 （打二字植物）,谜底：生姜,小贴士：“子牙”指姜子牙，谜底以“姜”代指。“不熟”反扣“生（陌生）”。
谜面：当下转变为上策 （打二字水果）,谜底：山竹,小贴士：“当”字下半部分转变后，可成“山”字；“策”字的上半部分为“竹”。
谜面：对方就在草桥下 （打一字）,谜底：营,小贴士：“对方”别解为两个方格，即“吕”；“草”扣“艹”；“桥”形扣“冖”；合成“营”字。
谜面：不大充足 （打一节气）,谜底：小满,小贴士：“不大”反扣“小”，“满”义扣“充足”。
谜面：没时间来聊 （打一字）,谜底：耳,小贴士：“卯”，指卯时，旧式记时法，相当于五点到七点。谜面别解为“聊”字没了时间（卯），即剩下“耳”字。
谜面：一心改变旧面貌 （打一字）,谜底：恒,小贴士：“旧”字的面貌改变后，与“一”和“心”组合，成“恒”字。
谜面：禄山宫里养作儿 （打一成语）,谜底：苟且偷安,小贴士：谜面出自《连昌宫词》，元稹此句暗指贵妃与安禄山有不正当男女关系。“安”别指“安禄山”。
谜面：股票久跌难脱手 （打二字床上用品）,谜底：被套,小贴士：谜底别解为“被套牢了”。
谜面：员工一缺价就涨 （打一省份简称）,谜底：贵,小贴士：“员工”二字缺了“一”，就成“贵”字。“价就涨”提示“贵”的字义。
谜面：八点两分，一对列车双双到 （打一成语）,谜底：轰轰烈烈,"小贴士：“八点两分”别解为“八个点分成两部分”，与一对“列车”和“双双”组合，可成“轰轰烈烈”.
。"
谜面：夕望长安自伤心 （打一成语）,谜底：朝秦暮楚,小贴士：“长安”古属“秦”地，“朝秦”别解“面朝长安”。“楚”有“伤心”之意。
谜面：设酒杀鸡迎客至 （打一字）,谜底：滨,小贴士：生肖“鸡”与地支“酉”相扣，“酒”杀了“鸡”后，余“氵”；“客”与“宾”同义相扣；合成“滨”字。
谜面：折枝杨柳送佳人 （打二字广西地名）,谜底：桂林,小贴士：“枝”折损去一半，余下“木”，“杨柳”义扣“木木”；“送佳人”别解为“佳”字的“人”离去，余下“圭”；合成“桂林”二字。
谜面：冰雪半融 （打一节气）,谜底：雨水,小贴士：“冰雪”二字各融掉一半，剩下即“雨水”。
谜面：抛出东西落窗下 （打一字）,谜底：究,小贴士：“抛出东西”别解为“抛”字去掉东西两边，余下“九”；“落窗下”别解“窗”字落掉下半部分，剩下“穴”；合成“究”字。
谜面：牧主搬家 （打三字西汉人名）,谜底：司马迁,小贴士：“司马”别解为“经营马匹之人”。
谜面：张嘴就是汉光武 （打三字新词）,谜底：脱口秀,小贴士：汉光武帝，即刘秀。
谜面：酒后高兴来应酬 （打二字城市）,谜底：广州,小贴士：“广州”与“酒”字的后半部分和“兴”字的高处组合，可成“应酬”二字。
谜面：闻声知是叶又落 （打一字）,谜底：吱,小贴士：“闻声知”提示谜底的读音与“知”相同，“叶又”二字落在一处，可成“吱”字。
谜面：宋先生早作调动 （打一字）,谜底：宣,小贴士：“宋”字的先头部分为“宀”，“早”字作了调动后与“宀”组合成“宣”字。
谜面：前奏一响站起来 （打一节气）,谜底：立春,小贴士：“一”与“日”发音相似，“一响”暗示谜底中有“日”，“日”与“奏”字的前半部分组合，成“春”字。“站起来”，提示“立”的字义。
谜面：妻子光付了本钱 （打四字口语）,谜底：太没出息,小贴士：“太”别指“太太，妻子”；“息”别解为“利息”。
谜面：全部变化，一个不留 （打一社会不良现象）,谜底：三陪,小贴士：把“全”和“部”变化，部变化为“陪”把“全”字中的“一”和“个”不留，余“三”。故扣。
谜面：图中此女实是妾 （打一节气）,谜底：立冬,小贴士：“图”字中间为“冬”，“立”与“女”组合可成“妾”。
谜面：一大一小提前到 （打一字）,谜底：捺,小贴士：“一大一小”组合成“奈”字，“提”字的前半部分为“扌”，合成“捺”字。
谜面：二人盼望重组合 （打一节气）,谜底：春分,小贴士：“二人盼”三字重新组合，可成“春分”二字
谜面：一开门就疼得刺挠 （打一成语）,谜底：无关痛痒,小贴士：“无关”别解为“没有关门”，与“一开门”遥相呼应。
谜面：内部改革大变样 （打一字）,谜底：两,小贴士：“内”字部分改革后与变了样的“大”字组合，可成“两”字。
谜面：花前心无忘，衷心寻暗香 （打一节气）,谜底：芒种,小贴士：“花”前为“艹”，“忘”无“心”即“亡”，合成“芒”字；“衷”心为“中”，“暗香”别解为“香”字没了“日”，剩下“禾”，与“中”组合成“种”。
谜面：优生优育 （打三字节日）,谜底：愚人节,小贴士：“节”别解为“去除”。
谜面：久仰尊翁高德 （打三字节日）,谜底：敬老节,小贴士：“节”，别指“气节”。
谜面：正是盛夏之期 （打一节气）,谜底：处暑,小贴士：谜底别解为“处在酷暑中”。
谜面：滴滴雨落塞北路 （打一节气）,谜底：寒露,小贴士：“滴滴”形扣“丶丶”，与“塞”字的北部组合成“寒”字。“雨”与“路”合成“露”字。
谜面：园中赏月小窗前 （打二字节日）,谜底：元宵,小贴士：“园”字中间为“元”；“窗”字的前头为“宀”，与“小月”组合成“宵”字。
谜面：需要上湘西 （打一节气）,谜底：雨水,小贴士：“需”字的上半部分为“雨”，“湘”字的西部为“氵”。
谜面：若是放松还得失败 （打一成语）,谜底：如释重负,小贴士：“重负”别解为“重复失败”。
谜面：点点滴，酿成蜜 （打一字）,谜底：蛇,小贴士：“点点滴”扣“丶丶丶”，与“蛇”组合，成“蜜”字。
谜面：闽中重逢姑苏翁 （打二字动物）,谜底：蜈蚣,小贴士：“闽”字中心为“虫”；“姑苏”古属吴地，故以“姑苏翁”扣“吴公”。
谜面：双例佐证 （打一体育项目）,谜底：举重,小贴士：“举”，别解为“举证”；“重”，别解为“重复”。
谜面：日日思君不见君 （打一字）,谜底：心,小贴士：“心”与“日日”组合，成“思”。“不见君”抵消谜面中的第一个“君”字。
谜面：亲人接灯 （打三字明代人名）,谜底：戚继光,小贴士：“戚”，别指“亲戚”。
谜面：心想不到雨下来 （打一节气）,谜底：霜降,小贴士：“心想不到”别解为“想”字没了“心”，余下“相”，与“雨”组合成“霜”字。“下来”义扣“降”。
谜面：三更全体行动 （打一字）,谜底：珍,小贴士：“三”字可变更成“彡”。“全体行动”别解为“全”字的结构发生改变，与“彡”组合可成“珍”字。
谜面：白首雄心迎未来 （打一字）,谜底：徉,小贴士：“白”字首笔与“雄”字的中心组合，成“彳”；地支“未”与生肖“羊”相扣。
谜面：水乡山貌尽变青 （打一字）,谜底：绿,小贴士：“水乡山”三字的样貌稍微改变后组合，可成“绿”字。“青”暗示“绿”的字义。
谜面：小宛千里去寻夫 （打一字）,谜底：芙,小贴士：“小宛”，指董小宛，以“董”代指。“董”字去掉“千里”后与“夫”组合，成“芙”字。
谜面：带头改革有方 （打一字）,谜底：苦,小贴士：“方”别解为“方格”，扣“口”；“带”字的头部改革后可成“艹十”，与“方（口）”组合，成“苦”字。
谜面：别后一月会江头 （打一城市简称）,谜底：渝,小贴士：“别”字的后半部分为“刂”，“江”字的前头为“氵”，与“一月”会合后可成“渝”字。“渝”是重庆的简称。
谜面：改变旧貌迎猴年 （打一字）,谜底：申,小贴士：“旧”字的样貌改变后，可成“申”字。生肖“猴”对应地支为“申”。
谜面：容得下天下 （打一节气）,谜底：谷雨,小贴士：“天下”别解为“天下雨”。
谜面：十月一日面貌新 （打二字乐器）,谜底：二胡,小贴士：“十月一日”四字重新组合，可成“二胡”二字。
谜面：浪花四溅在桥头 （打一字）,谜底：根,小贴士：“浪花四溅”可理解为“浪”字去掉“四点”，余下“艮”；“桥”字的前头为“木”；合成“根”字。
谜面：携壶寻访杏花村 （打二字《红楼梦》人名）,谜底：探春,小贴士：“借问酒家何处有？牧童遥指杏花村。”故以“杏花村”借指酒家。“春”，酒的美称。买春，原意为买酒。
谜面：前功尽弃不作为 （打一字）,谜底：办,小贴士：“前功尽弃”别解为“功尽”二字的前头都去掉，余下“力”和“丶丶”，可合成“办”字或“为”字。“不作为”声明了谜底不能猜作“为”字，所以谜底只能是“办”字。
谜面：人不在位心不愁 （打一节气）,谜底：立秋,小贴士：“人不在位”别解为“位”字没了“人”，余下“立”；“心不愁”别解为“愁”字没了“心”，剩下“秋”。
谜面：看人下菜碟 （打三字宋代人名）,谜底：张择端,小贴士：“端”别解为“端菜”。
谜面：闲中解尽其中意 （打一字）,谜底：间,小贴士：“解”，有减损消除之意，“闲”字的中心解尽后，剩下“门”；“意”字的中间为“日”。
谜面：昔看黄菊与君别 （打一节气）,谜底：秋分,小贴士：“看黄菊”，在秋季。
谜面：拆卸一点补三点 （打一省份简称）,谜底：浙,小贴士：“拆”字卸掉“一点”，再补上“三点”，即成“浙”字。
谜面：征聘老师 （打二字礼貌用语）,谜底：请教,小贴士：谜底别解为“请教师”。
谜面：溪边小立待月出 （打一字）,谜底：消,小贴士：“溪”字的一边，取“氵”，与立在一旁的“小”、“月”组合，可成“消”字。
谜面：天下欢颜度中秋 （打一成语）,谜底：大喜过望,小贴士：“望”，别解为“望日”，即月亮最圆的一天，通常指旧历每月之十五日，这里指中秋节。
谜面：中秋后无意耕耘 （打一字）,谜底：种,小贴士：“秋后无意”别解为“秋”字去掉后半部分，剩下“禾”，与“中”组合成“种”字。“耕耘”提示“种”之意。
谜面：华夏永无忧 （打三字节日）,谜底：中秋节,小贴士：“中”，别解为“中国”；“秋”古同“愁”，“秋节”别解为“没了忧愁”。
谜面：待人还须诚为先 （打一字）,谜底：诊,小贴士：“须诚”二字的先头部分与“人”组合，可成“诊”字。
谜面：女方又提落户 （打二字新词）,谜底：房奴,小贴士：“女方又”三字喜提“户”后，可成“房奴”二字。
谜面：蛇年除夕钟声响 （打四字国家名）,谜底：马尔代夫,小贴士：蛇年是被马年取代的。
谜面：改革关头求人和 （打二字节日）,谜底：中秋,小贴士：“关”字的前头“?R一”改革后，与“人和”组合，可成“中秋”二字。
谜面：得人和，成大业 （打一字）,谜底：亚,小贴士：“亚”字得“人”后，可成“大业”二字。
谜面：蒙面道士 （打五字俗语）,谜底：真人不露相,小贴士：真人，指古代道家洞悉宇宙和人生本原，真真正正觉醒，觉悟的人称之为真人。这里泛指道士。
谜面：未写一撇转眼到 （打二字央视主持人）,谜底：朱迅,小贴士：“未”字写上一撇，可成“朱”字；“转眼到”提示“迅”的字义。
谜面：十赌九输 （单位冠量）,谜底：一克,小贴士：“克”，有战胜、赢的字义。
谜面：少二棋擂 （打谦称二）,谜底：小的、在下,小贴士：“在下”，别解为“在下棋”。
谜面：园中月露初觉寒 （打二字节日）,谜底：元宵,小贴士：“园”字的中间为“元”；“觉寒”二字的头（初）部分别取“小宀”，与“月”字组合成“宵”。
谜面：哥哥眼力好 （打二字云南地名）,谜底：昆明,小贴士：“昆”，有“哥哥”的意思。
谜面：日下禾焦草半枯 （打二字水果）,谜底：香蕉,小贴士：“日”字置于“禾”字的下方，成“香”；“草”半枯后，与“焦”组合成“蕉”字。
谜面：闻得芳香两角钱 （打一字）,谜底：芬,小贴士：“芬”字可拆解成“十十分”，即二十分，“两角钱”。“芳香”含“芬”之意。
谜面：直到五点抵云南 （打一字）,谜底：滇,小贴士：“直”与“五点”组合，可成“滇”字。云南，简称“滇”。
谜面：依依顿足频回首 （打三字口语）,谜底：别紧张,小贴士：“别”，别解为“离别”；“张”，别解为“张望”。
谜面：减少人民币发行量 （打三字节日）,谜底：中元节,小贴士：“中元”，别解为“人民币”。
谜面：一一调侃伤了人 （打二字节日）,谜底：中元,小贴士：“侃”字伤了“人”后，余下“口川”，调整后与“一一”组合，可成“中元”二字。
谜面：舞姿超群 （打二字体育项目）,谜底：跳高,小贴士：“高”，别解为“高超”。
谜面：金牌银牌大盘点 （打一成语）,谜底：数一数二,小贴士：“一”和“二”分别指“第一”和“第二”。
谜面：奉劝司机守旧业 （打四字口语）,谜底：别想不开,小贴士：谜底别解为“不要想不开车”。
谜面：改吃药为吊针 （打三字口语）,谜底：不服输,小贴士：谜底应顿读作“不服，输”。“不服”别解为“不服药”，“输”别指“输液”。
谜面：来人着新装 （打二字经济作物）,谜底：大米,小贴士：“着新装”别解为“重新组装”。
谜面：剃须 （打三字食品）,谜底：刀削面,小贴士：“面”，别解为“脸”。
谜面：医生免受公诉 （打一句古语）,谜底：刑不上大夫,小贴士：“公诉”，指由检察院提起诉讼的刑事案件。
谜面：匾中无字待分析 （打二字称谓）,谜底：木匠,小贴士：“匾”字中间无字，即“匚”，与拆分后的“析”字组合，可成“木匠”二字。
谜面：严于自省 （打三字节日）,谜底：父亲节,小贴士：“严”，对父亲的尊称，别解为“父亲”。
谜面：亲人两点到包头 （打一节气）,谜底：立秋,小贴士：“包头”别解为“包”字的头笔，即“丿”，与“亲人”、“两点”组合，可成“立秋”二字。
谜面：一江流水伴日出 （打一字）,谜底：旺,小贴士：“一江”二字的“水”流走了，余下“一工”，合成“王”；“王”伴着“日”，成“旺”字。
谜面：带头转变旧面貌 （打一汽车品牌）,谜底：丰田,小贴士：“带”字的头部旋转90度后，即成“丰”字；“旧”字的面貌变后，可成“田”字。
谜面：运动员开大奔 （打一字）,谜底：喷,小贴士：“运动员”，别解为将“员”字的笔画结构搬动；“开大奔”别解为“奔”字的“大”开除掉，余下“卉”；
谜面：晚年得子总挂嘴上 （打一成语）,谜底：老生常谈,小贴士：“老生”，别解为“老来生子”。
谜面：条件成熟再会 （打三字食品）,谜底：方便面,小贴士：“条件成熟”扣“方便”；“会”扣“面”，会面。
谜面：依山傍水看岷江 （打二字称谓）,谜底：民工,小贴士：“民工”与“山”、“水”组合，可成“岷江”二字。
谜面：点赞老爸每一天 （打神话故事一）,谜底：夸父逐日,小贴士：《夸父逐日》出自《山海经?海外北经》。
谜面：雨中淋了一点雨 （打二字《水浒传》人名）,谜底：林冲,小贴士：“雨中淋”了却去“一点”和“雨”，余下的笔画可组成“林冲”二字。
谜面：溪畔寒梅红半露 （打二字《水浒传》人名）,谜底：宋江,小贴士：“溪”畔，取“氵”；“寒梅红”三字半露，取“宀木纟”；合成“宋江”二字。
谜面：每月调查放宽心 （打二字花卉）,谜底：腊梅,小贴士：“宽”字的中心为“艹”，与“每月”、“查”组合，可成“腊梅”二字。
谜面：说话富有节奏 （打一成语）,谜底：陈词滥调,小贴士：“滥调”别解为“音调泛滥”，与谜面中的“富有节奏”相呼应。
谜面：未入皇城已怀上 （打三字医学词）,谜底：宫外孕,小贴士：“宫”别解为“皇宫”。
谜面：名落孙山 （打三字俗话）,谜底：不中意,小贴士：谜底别解为“不中举的意思”。
谜面：世界第一流 （打二字体育项目）,谜底：棒球,小贴士：“棒”，别解为“好”；“球”别解为“地球”，指世界。
谜面：空中雁阵横 （打二字节日）,谜底：八一,小贴士：“空”字中间为“八”，“雁阵横排”如“一”字。
谜面：中华崛起 （打一节气）,谜底：立夏,小贴士：“夏”，别解为“华夏”，指中华民族。
谜面：出个主意度端午 （打四字常言）,谜底：有点过节,小贴士：“点”，别解为“点子、主意”；“节”别指“元宵节”。
谜面：灯谜之前闻笛声 （打一字）,谜底：狄,小贴士：“灯谜”二字的前半部分组合，可成“狄”字。“狄”与“笛”读音相同。
谜面：招贤纳士平原君 （打一成语）,谜底：引人入胜,小贴士：平原君，即赵胜，战国四公子之一。
谜面：秦明断后 （打一节气）,谜底：春分,小贴士：“秦明”二字各断离去后半部分，余下“三人”和“日”，与“春”字拆分开一样。
谜面：一走了之到南京 （打二字地名）,谜底：辽宁,小贴士：“走”别解为“走之旁”，即“辶”，与“了”组合成“辽”；“南京”，简称“南”。
谜面：猜对灯谜尽散忧 （打一节日）,谜底：中秋节,小贴士：谜底应顿读作“中、秋节”。“秋”，别指“不好的时期”，延伸义为“忧愁”。
谜面：此章早失传 （打一节日）,谜底：六一,小贴士：“章”字的“早”失传了，余下“立”，可拆解成“六一”。
谜面：六一获释 （打一成语）,谜底：不拘小节,小贴士：“小节”，别解为“儿童节”，即谜面中的“六一”。
谜面：浪呀么浪打浪 （打一成语）,谜底：一波三折,小贴士：谜底中的“波”别指“波浪”。
谜面：罗襟滴泪无数 （打一成语）,谜底：一衣带水,小贴士：“水”，别解为“泪水”。
谜面：私字当头，必有所失 （打一字）,谜底：秩,小贴士：“私”字的前头为“禾”，与“失”组合成“秩”字。
谜面：踏上归途天已暗 （打一成语）,谜底：来路不明,小贴士：谜底别解为“来时的路已经看不清”。
谜面：此恨绵绵无绝期 （打一成语）,谜底：浩气长存,小贴士：“浩气”，别解为“很大的怨气”。
谜面：前面一直在蹉跎 （打二字网站名）,谜底：百度,小贴士：“面”字之前“一”在，“蹉跎”扣“白度”，虚度。
谜面：儿子想法不实际 （打一文学人物）,谜底：孙悟空,小贴士：“儿子”，别解为“儿的子”，即“孙”。
谜面：扶老不携幼 （打一官名）,谜底：司长,小贴士：谜底别解为“照顾伺候长辈”。
谜面：黥刑 （打一网站名）,谜底：脸书,小贴士：“黥刑”是古代一种刑罚，在犯人脸书刺字。
谜面：发言已毕 （打一清朝年号）,谜底：道光,小贴士：“道”，别解为“说”。
谜面：只拣熟谜猜 （打一成语）,谜底：别开生面,小贴士：“生面”，别解为“陌生的谜面”。
谜面：桃李梅迎春 （打三字酒名）,谜底：三花酒,小贴士：“春”，酒的别称。
谜面：灯谜报猜从未错 （打一成语）,谜底：言必有中,小贴士：“中”，别解为“猜中、射中”。
谜面：整容摘帽露出头 （打一节气）,谜底：谷雨,小贴士：“容”字摘去帽后，剩下“谷”；“露”字的前头为“雨”。
谜面：放下武器和谈 （打一体育项目）,谜底：空手道,小贴士：“道”别解为“说”，义扣“谈”。
谜面：做笔录 （打二字官名 ）,谜底：书记,小贴士：谜底别解为“书写并记录下来”。
谜面：偶有所获 （打二字国家名）,谜底：乍得,小贴士：“乍”，有突然、忽然之义。
谜面：反复打量似父子 （打一字）,谜底：孜,小贴士：“孜”字，看起来就像是“父子”二字组合而成。孜，有“反复、不断”之意。
谜面：屈原青莲与世长存 （打一成语）,谜底：平白无故,小贴士：“平白”分别指屈平、李白。
谜面：花前不要盲目栽树 （打一节气）,谜底：芒种,小贴士：“花”字的前半部分为“艹”，“不要盲目”扣“亡”；“栽树”，提示“种”之意。
谜面：丹唇未启笑先闻 （打一字）,谜底：哈,小贴士：“哈”字可拆分成“合口”，与“丹唇未启”之意相呼应。“笑先闻”，提示“哈”之意。
谜面：日月潭边春色满 （打一节日）,谜底：清明,小贴士：“日月”合为“明”；“潭”字的一边，取“氵”；“春色满”可会意成“青”。
谜面：碧绿湖中别有天 （打一节气）,谜底：清明,小贴士：“碧绿”义扣“青”；“湖”字的中间的“古”离别了，剩下“氵月”。“青”、“氵月”与“天（日）”组合，可成“清明”二字。
谜面：清明时节雨纷纷 （打四字央视栏目）,谜底：朝闻天下,小贴士：“朝”，别解为“今朝”；“天下”，别解为“天下雨”。
谜面：清明前后怀古 （打一字）,谜底：湖,小贴士：“清明”二字的前后部分分别为“氵月”，与“古”组合成“湖”字。
谜面：回头一看，竟生怨恨 （打一成语）,谜底：反目成仇,小贴士：“反”，古同“返”。
谜面：知了知了 （打一节气）,谜底：清明,小贴士：“清明”，别解为“清楚明了”。
谜面：一进西北就说水 （打二字城市）,谜底：酒泉,小贴士：“一”进“西”，成“酉”；“北”方属“水”；合成“酒”字。“说水”义同“白水”，即“泉”字。
谜面：大人还行 （打三字蔬菜）,谜底：娃娃菜,小贴士：“菜”，不行。反扣谜面。
谜面：悄悄话 （打一文学体裁）,谜底：小说,小贴士：谜底别解为“小声地说”。
谜面：一把手是蠢货 （打三字蔬菜名）,谜底：大头菜,小贴士：谜底别解为“最大的头头很菜”。
谜面：单说娘子过玉门 （打一成语）,谜底：一语双关,小贴士：“双关”，别解为“娘子关”和“玉门关”。
谜面：硬的不说 （打二字体育项目）,谜底：柔道,小贴士：“道”别解为“说”。
谜面：只待雨淋头 （打一成语）,谜底：等而下之,小贴士：“下”，别解为“下雨”。
谜面：高堂热难当 （打一节气）,谜底：小暑,小贴士：“堂”字的高处为“小”，“热难当”提示“暑”的字义。
谜面：生活在蒙古帐篷 （打四字招聘用语）,谜底：包吃包住,小贴士：“包”，别解为“蒙古包”。
谜面：恋爱失败，含恨等待 （打五字常言）,谜底：成不了气候,小贴士：谜底应顿读为“成不了，气候”。
谜面：两个姑娘一个儿 （打《长恨歌》一句）,谜底：不重生男重生女,小贴士：“重”，别指“重复”。
谜面：左边不是，右也不是 （打一机构简称）,谜底：中行,小贴士：“中行”，别解为“中间行”。
谜面：双方团聚 （打二字货币名）,谜底：日圆,小贴士：“双方”别指两个方格，合为“日”。“团聚”，暗示“圆”的字义。
谜面：一点高升实可庆 （打一字）,谜底：厌,小贴士：“厌”字中的“一点”升高，可为“庆”字。
谜面：球迷情系西西里 （打一成语）,谜底：心满意足,小贴士：西西里，是地中海最大的岛屿，位于意大利境内。
谜面：观点都正确 （打一成语）,谜底：触目皆是,小贴士：“是”表示“对”，与“正确”相对。
谜面：发言音太轻，听众有意见 （打一成语）,谜底：低声下气,小贴士：“下”别解为“台下的人”，意指“听众”。
谜面：二季度来临 （打一节气）,谜底：夏至,小贴士：“二季度”，指“夏”季。
谜面：南京到首都须一日 （打一节气）,谜底：小暑,小贴士：“京”字的南部是“小”。“都”字的头（首）部是“者”，与“日”合为“暑”字。
谜面：老丑宰鸡祭亡灵 （打一字）,谜底：鬼,小贴士：“老丑”别解为“丑”字的繁体，即“?h”；“鸡”与十二地支“酉”对应；“?h”宰掉“鸡”后，留下“鬼”。“亡灵”代指“鬼”意。
谜面：国足缘何进入世界杯 （打四字新词）,谜底：纳米技术,小贴士：中国于2002年，进入过韩日世界杯，当时的教练是“米卢”。
谜面：海瑞、况钟、于谦、魏征、包拯 （打一成语）,谜底：五官端正,小贴士：谜面中的五人均是正直的官员。
谜面：石旁停立六十天 （打一化学元素名称）,谜底：硼,小贴士：“六十天”为两个月，即“朋”。
谜面：闭口不言只管笑 （打一字）,谜底：哈,小贴士：（汉谜/网首发）“哈”字可拆解为“合口”，与“闭口”释义相同。“只管笑”暗示“哈”之意。
谜面：广西面貌 （打二字中药）,谜底：桂皮,小贴士：“广西”简称“桂”。
谜面：孤儿失踪在夜半 （打二字食品名）,谜底：瓜子,小贴士：“孤”字的“儿”失踪了，剩下“瓜”。“子”，别指“子时”，即半夜。
谜面：开口对骂心不怵 （打二字体育项目）,谜底：马术,小贴士：“开口对”可理解为两个“口”，与“马”组合为“骂”字。“怵”字不要“心”，即为“术”字。
谜面：半夜萧萧闻雨声 （打一成语）,谜底：下落不明,小贴士：“下”别解为“下雨”。
谜面：赤水河 （打一词牌名）,谜底：满江红,小贴士：“赤”，字义为“红”。
谜面：三人伴音 （打一节气）,谜底：立春,小贴士：“三人”与“音”字组合，可组成“立春”二字。
谜面：情不自禁 （打二字疾病）,谜底：流感,小贴士：谜底别解为“流露情感”。
谜面：犹见前方春色闹 （打一字）,谜底：猜,小贴士：五行木、火、土、金、水分别与青、红、黄、白、黑五种颜色对应，而其中春天属于“木”，故以“春”扣“青”。
谜面：张清在前，秦明断后 （打二字中国城市）,谜底：长春,小贴士：“张”字清去前半部分，余下“长”字；“秦明”二字断去后部，留下部分合成“春”字。
谜面：为何服用通病剂 （打一成语）,谜底：不解之缘,小贴士：“解”，别解为“解手”。
谜面：一夕 （打四字物理用语）,谜底：接触不良,小贴士：“一夕”二字接触起来，成为“歹”字。“歹”字义为“不良”。
谜面：飞黄腾达 （打二字体育项目）,谜底：跳马,小贴士：飞黄，传说中的神马。
谜面：再度游西湖 （打二字乐器）,谜底：二胡,小贴士：“再度”与“二”之意相扣。“游西湖”别解为“湖”字的西边游走了，余下“胡”。
