谜面,谜底
谜面：化妆技巧 （打一学科名）,谜底：美术
谜面：京剧唱腔 （打一词牌名）,谜底：声声慢
谜面：案中案 （打一字）,谜底：始
谜面：顺从即可委派 （打一成语）,谜底：听之任之
谜面：仅仅少两人 （打一字）,谜底：双
谜面：俺成了大人 （打二字物理名词）,谜底：电流
谜面：全部招供 （打一清代帝号）,谜底：道光
谜面：秋后相逢拱手别 （打一字）,谜底：烘
谜面：独到南京，雨声入耳 （打一字）,谜底：宇
谜面：只图内心合得来 （打一节气）,谜底：冬至
谜面：路灯亮了 （打一清朝年号）,谜底：道光
谜面：开罗 （打三字购物软件名）,谜底：拼多多
谜面：光头做导游 （打一成语）,谜底：引而不发
谜面：两人半途而废 （打一姓氏）,谜底：徐
谜面：入夜获梦 （打一姓氏）,谜底：林
谜面：居无定所 （打二字《水浒传》人名）,谜底：时迁
谜面：父兄喜爱赏桃花 （打一成语）,谜底：伯乐相马
谜面：晚桥落日一星浮 （打一字）,谜底：冤
谜面：恰似斜雁过西楼 （打一字）,谜底：朱
谜面：微型“出”字 （打一词牌名）,谜底：小重山
谜面：日中 （打一节日名）,谜底：端午
谜面：掀起盖头美人出 （打一字）,谜底：一
谜面：重阳有雨 （打一姓氏）,谜底：雷
谜面：彻底平冤案 （打一节气）,谜底：大雪
谜面：经商逆袭 （打二字城市名）,谜底：上海
谜面：排名之前 （打一节日）,谜底：除夕
谜面：东西收拾好 （打一学科名）,谜底：物理
谜面：归还一半少零头 （打一节气）,谜底：小雪
谜面：土生土长人靚丽 （打一字）,谜底：佳
谜面：游了南岳到陝西 （打一姓氏）,谜底：邱
谜面：严禁请向导 （打一成语）,谜底：不得要领
谜面：60岁的追星族 （打三字食品）,谜底：花甲粉
谜面：顽童 （打二字电商公司名称）,谜底：淘宝
谜面：子由猜谜语 （打三字化学品名）,谜底：小苏打
谜面：自信满满 （打一古民族）,谜底：鲜卑
谜面：调解员声音发窘 （打一字）,谜底：囧
谜面：不是这头，就是那头 （打二字国家名）,谜底：中非
谜面：立见分晓 （打二字节日）,谜底：六一
谜面：入伍后非常谦虚 （打二字《三国演义》人名）,谜底：陆逊
谜面：寒秋日临近 （打一字）,谜底：香
谜面：来的都是客 （打二字地名）,谜底：广西
谜面：长乐宫吕后设计 （打二字邮政用语）,谜底：死信
谜面：雾中点点寒意到 （打一节气）,谜底：冬至
谜面：早上得绝句 （打一字）,谜底：甸
谜面：百无一是 （打一节气）,谜底：白露
谜面：他在西，我在东 （打一字）,谜底：伐
谜面：分是受旱，合是受涝 （打一字）,谜底：泛
谜面：多了一半 （打一节日）,谜底：除夕
谜面：不断用心改革 （打一字）,谜底：莲
谜面：牡丹映龙泉 （打二字体育项目）,谜底：花剑
谜面：庭院深深小弄浅 （打一成语）,谜底：家长里短
谜面：一自初冬到前方 （打一节气名）,谜底：夏至
谜面：举国上下齐欢庆 （打一成语）,谜底：乐在其中
谜面：站在图中 （打一节气）,谜底：立冬
谜面：每日开支 （打二字疾病）,谜底：天花
谜面：尖端制冷 （打一节气名）,谜底：小寒
谜面：广寒宫上度重阳 （打一字）,谜底：胃
谜面：窥视六国 （打二字北宋人名）,谜底：秦观
谜面：江边寺前遇知音 （打一字）,谜底：汁
谜面：国庆加班 （离合字）,谜底：十一干
谜面：倒数第一共相处 （打一姓氏）,谜底：黄
谜面：婚礼次日是中秋 （打一成语）,谜底：大喜过望
谜面：广西中秋月 （打二字水果）,谜底：桂圆
谜面：八月十五观钱江 （打二字股票词）,谜底：看涨
谜面：计划怀老二 （打二字汽车部件）,谜底：备胎
谜面：一直等到四点 （打一字）,谜底：慎
谜面：男人太假 （打古民族一）,谜底：女真
谜面：君子不动手 （打一字）,谜底：识
谜面：干部召回 （打二字围棋术语一）,谜底：收官
谜面：轻描淡写涂口红 （打一词牌名）,谜底：点绛唇
谜面：会下不见会上见 （打一字）,谜底：从
谜面：首次摸彩中大奖 （打一成语）,谜底：一触即发
谜面：此鼠不大 （打一姓氏）,谜底：孙
谜面：釆取前面重头戏 （打一姓氏）,谜底：聂
谜面：言教不如身教 （打一学科名）,谜底：体育
谜面：近乡山水异 （打一字）,谜底：绿
谜面：两心牵挂，愁忿俱生 （打二字节气）,谜底：秋分
谜面：人人都要有雄心 （打一字）,谜底：众
谜面：笑口常开 （打二字明朝年号）,谜底：永乐
谜面：岁首当勤俭 （打二字节日）,谜底：春节
谜面：用刀切去一多半 （打二字节日）,谜底：七夕
谜面：七夕相会抛媚眼 （打四字标语）,谜底：节约用电
谜面：书论秦逐客 （打一成语）,谜底：一表斯文
谜面：宋江前头走掉，将朱仝两人撇下 （打二字体育项目）,谜底：双杠
谜面：春日出游人不在 （打一少笔字）,谜底：三
谜面：素来节俭 （打离合字一）,谜底：自小省
谜面：旦将真心解愁心 （打一成语）,谜底：一日三秋
谜面：工余时间好读书 （打二字教育用语）,谜底：休学
谜面：差点就黑了 （打一字）,谜底：鸟
谜面：避讳只准称观音 （打一成语）,谜底：不可一世
谜面：小的不一样 （打一动物）,谜底：大象
谜面：香烟头 （打一节气）,谜底：秋分
谜面：家丑不可外扬 （打二字品牌）,谜底：蒙牛
谜面：只待雨淋头 （打一成语）,谜底：等而下之
谜面：高堂热难当 （打一节气）,谜底：小暑
谜面：生活在蒙古帐篷 （打四字招聘用语）,谜底：包吃包住
谜面：恋爱失败，含恨等待 （打五字常言）,谜底：成不了气候
谜面：两个姑娘一个儿 （打《长恨歌》一句）,谜底：不重生男重生女
谜面：左边不是，右也不是 （打一机构简称）,谜底：中行
谜面：双方团聚 （打二字货币名）,谜底：日圆
谜面：一点高升实可庆 （打一字）,谜底：厌
谜面：球迷情系西西里 （打一成语）,谜底：心满意足
谜面：观点都正确 （打一成语）,谜底：触目皆是
谜面：发言音太轻，听众有意见 （打一成语）,谜底：低声下气
谜面：二季度来临 （打一节气）,谜底：夏至
谜面：南京到首都须一日 （打一节气）,谜底：小暑
谜面：老丑宰鸡祭亡灵 （打一字）,谜底：鬼
谜面：国足缘何进入世界杯 （打四字新词）,谜底：纳米技术
谜面：海瑞、况钟、于谦、魏征、包拯 （打一成语）,谜底：五官端正
谜面：石旁停立六十天 （打一化学元素名称）,谜底：硼
谜面：闭口不言只管笑 （打一字）,谜底：哈
谜面：广西面貌 （打二字中药）,谜底：桂皮
谜面：孤儿失踪在夜半 （打二字食品名）,谜底：瓜子
谜面：开口对骂心不怵 （打二字体育项目）,谜底：马术
谜面：半夜萧萧闻雨声 （打一成语）,谜底：下落不明
谜面：赤水河 （打一词牌名）,谜底：满江红
谜面：三人伴音 （打一节气）,谜底：立春
谜面：情不自禁 （打二字疾病）,谜底：流感
谜面：犹见前方春色闹 （打一字）,谜底：猜
谜面：张清在前，秦明断后 （打二字中国城市）,谜底：长春
谜面：为何服用通病剂 （打一成语）,谜底：不解之缘
谜面：一夕 （打四字物理用语）,谜底：接触不良
谜面：飞黄腾达 （打二字体育项目）,谜底：跳马
谜面：再度游西湖 （打二字乐器）,谜底：二胡
谜面：总做无用功 （打三字酒名）,谜底：老白干
谜面：一把手调走旧貌改 （打一成语）,谜底：改头换面
谜面：戒酒 （打一词曲牌名）,谜底：春去也
谜面：实在讨厌 （打三字常言语）,谜底：空欢喜
谜面：岗位调换 （打一字）,谜底：岖
谜面：B超验明没怀儿 （打一成语）,谜底：子虚乌有
谜面：下雪 （打三字节日）,谜底：妇女节
谜面：明星得胜 （打三字旅游用语）,谜底：两日游
谜面：堂前池边两残花 （打一节气）,谜底：小满
谜面：六一童之节 （打一字）,谜底：里
谜面：小伙不轻浮 （打四字体育项目）,谜底：男子举重
谜面：听其声，出乎意料，观其貌，并非偶然 （打一字）,谜底：奇
谜面：按日轮值 （打离合字一）,谜底：一人一天
谜面：要真心别存恶心 （打二字城市名）,谜底：三亚
谜面：春事已了 （打二字节气）,谜底：夏至
谜面：前站就是中国 （打一节气名）,谜底：立夏
谜面：程颢兄弟创新派 （打三字学科名）,谜底：生理学
谜面：右盼左顾无踪影 （打一字）,谜底：颁
谜面：失街亭单斩马谡 （打一成语）,谜底：平安无事
谜面：玉口难开 （打一国际组织）,谜底：联合国
谜面：长生果 （打三字常言）,谜底：不老实
谜面：过目不忘 （打一文学体裁）,谜底：观后记
谜面：三八线为界 （打一朝代名）,谜底：南北朝
谜面：不胜惶恐 （打一字）,谜底：懒
谜面：虚心待人，认真读书 （打一学科名）,谜底：化学
谜面：三人同日出游 （打一词牌名）,谜底：春去也
谜面：远古风俗 （打一成语）,谜底：不近人情
谜面：江头可见夫人来 （打二字首都名）,谜底：河内
谜面：白马坡前日将落 （打一字）,谜底：坞
谜面：只有前言 （打二字年号）,谜底：光绪
谜面：金环与银环 （打三字《水浒传》人物绰号）,谜底：两头蛇
谜面：山边泉下有人来 （打二字花卉）,谜底：水仙
谜面：客到钱塘杜鹃鸣 （打一词牌名）,谜底：西江月
谜面：其中也有他 （打一字）,谜底：仁
谜面：奈何大人一一离去 （打二字谦词）,谜底：小可
谜面：前有宋清，后有龚旺 （打一成语）,谜底：乐在其中
谜面：围着火炉做游戏 （打三字口语）,谜底：凑热闹
谜面：春去也 （打一节气）,谜底：夏至
谜面：夸大其辞 （打一字）,谜底：亏
谜面：一一会师 （打二字官职）,谜底：元帅
谜面：当了情人人无奈 （打二字贬称谓）,谜底：小三
谜面：三人同日离开 （打一节气）,谜底：春分
谜面：专练外家拳 （打一成语）,谜底：不打自招
谜面：人生如戏 （打一字）,谜底：令
谜面：全面改革求变化 （打二字《水浒传》人名）,谜底：王伦
谜面：幕后一角 （打二字生活物）,谜底：毛巾
谜面：嫂子缺少好帮手 （打一字）,谜底：搜
谜面：春雨连绵妻独宿 （打一字）,谜底：一
谜面：雪后游西湖 （打一节气）,谜底：雨水
谜面：演员打斗真叫绝 （打一字）,谜底：角
谜面：元宵节前人微笑 （打一字）,谜底：莞
谜面：狂数钞票闹元宵 （打四字常言）,谜底：有点过节
谜面：元宵月光窗前洒 （打一字）,谜底：一
谜面：开春雨连绵 （打二字节日名）,谜底：三八
谜面：化装完人显俏 （打一节日名）,谜底：元宵
谜面：禾中长草心不忙 （打一节气）,谜底：芒种
谜面：引进人才留得住 （打一字）,谜底：主
谜面：拒收离婚判决书 （打一成语）,谜底：分文不取
谜面：春荷叶半开 （打一字）,谜底：草
谜面：掌管闽中，心系首都 （打一节气）,谜底：惊蛰
谜面：“神雕大侠”仍未来 （打一成语）,谜底：过犹不及
谜面：贾宝玉初试云雨情 （打三字花卉）,谜底：合欢花
谜面：断桥会 （打四字《水浒传》人物绰号一）,谜底：白面郎君
谜面：三十而立念师恩 （打一字）,谜底：莘
谜面：湖畔田间遇知音 （打一字）,谜底：汁
谜面：中华美德 （打二字历史名词）,谜底：三国
谜面：前头无人就叫余 （打一字）,谜底：俞
谜面：恻隐之心人有之 （打一字）,谜底：侧
谜面：谜无答案就发火 （打三字口语）,谜底：没底气
谜面：不要不好意思 （打一字）,谜底：土
谜面：商店老板盼兴旺 （打一成语）,谜底：卖主求荣
谜面：姑娘十八出洋去 （打五字成语）,谜底：女大不中留
谜面：有心结合配成双 （打二字舞蹈名）,谜底：恰恰
谜面：如何是好 （打三字体育名词）,谜底：女子组
谜面：错把梅花当桃花 （打一成语）,谜底：指鹿为马
谜面：僧尼共谋脱佛门 （打一成语）,谜底：约定俗成
谜面：“沙师弟和我，本事是比猴哥差点。” （打离合字一）,谜底：逊之孙
谜面：父亲帮忙，打赢官司 （打一成语）,谜底：大功告成
谜面：语吐温情 （打二字体育项目）,谜底：柔道
谜面：赛棋场上少不了我 （打一成语）,谜底：比下有余
谜面：万般皆下品 （打二字古官职）,谜底：尚书
谜面：连日想整容 （打二字花卉）,谜底：相思
谜面：男女情欲滥不得 （打二字节日）,谜底：春节
谜面：人要虚心 （打一年号）,谜底：成化
谜面：魂飞胆丧 （打一节气名）,谜底：大寒
谜面：独立劳动 （打离合字一）,谜底：全一人干
谜面：楚辞 （打三字口语）,谜底：别难过
谜面：朝见一片云 （打二字网络脱口秀节目）,谜底：晓说
谜面：连连称诺 （打二字经济作物）,谜底：可可
谜面：毫不利己 （打一乐器）,谜底：吉他
谜面：日日月月有变化 （打一化妆品）,谜底：胭脂
谜面：十有八九是优生 （打三字口语）,谜底：差不多
谜面：夜半闯敌营 （打一词牌名）,谜底：破阵子
谜面：可到桥头来 （打二字品牌）,谜底：柯达
谜面：须一点一点进口 （打二字经济作物）,谜底：毛豆
谜面：内部人手安排有方 （打二字菜肴）,谜底：扣肉
谜面：一付草药用一天 （打二字国家名）,谜底：约旦
谜面：大米 （打一成语）,谜底：诸如此类
谜面：他们从此离去 （打二字国家名）,谜底：也门
谜面：打电话代替函件 （打一成语）,谜底：言而无信
谜面：狗吠声连户内外 （打一字）,谜底：润
谜面：明末动乱 （打二字天文术语）,谜底：月相
谜面：春花秋月何时了？ （打二节气）,谜底：夏至、秋至
谜面：只要嫩的 （打二字作家）,谜底：老舍
谜面：奉先赶来拖公台 （打一西藏名胜）,谜底：布达拉宫
谜面：十分佩服 （打二字服装款式）,谜底：毛衣
谜面：武汉儿童 （打一词牌名）,谜底：江城子
谜面：古稀之年心不悲 （打一字）,谜底：辈
谜面：一米 （打八字常言）,谜底：来也匆匆，去也匆匆
谜面：姑娘不轻浮 （打四字体育项目）,谜底：女子举重
谜面：大水淹没，空前损失 （打二字工种）,谜底：电工
谜面：千杯万盏也不醉 （打一化学用品）,谜底：酒精
谜面：救援南京 （打二字山东地名）,谜底：济宁
谜面：园中观夜景 （打二字节日）,谜底：元宵
谜面：园中旧貌换新颜 （打一节日）,谜底：元旦
谜面：元旦前后揭晓 （打二字福建地名）,谜底：三明
谜面：宋公明一觉醒来 （打二字地名）,谜底：江苏
谜面：相逢遇雨落下来 （打一节气）,谜底：霜降
谜面：瞎凑合 （打一成语）,谜底：不见不散
谜面：皇上做寿不铺张 （打一节日）,谜底：圣诞节
谜面：准备前来 （打一节气名）,谜底：冬至
谜面：只因有身孕，难把对象找 （打一成语）,谜底：怀才不遇
谜面：妾身独自过去 （打一成语）,谜底：一如既往
谜面：大家讲话莫高声 （打三字春秋人名）,谜底：齐小白
谜面：上下前后都能找到 （打一字）,谜底：一
谜面：说上两句赶紧溜 （打四字体育项目）,谜底：短道速滑
谜面：大宋皇储 （打四字电影名）,谜底：赵氏孤儿
谜面：大胆改革 （打二字时间用语）,谜底：明天
谜面：大口加小口，猜回你别走，要是猜作咽，还不放你走 （打一字）,谜底：固
谜面：大有所得 （打二字《三国演义》人名）,谜底：孟获
谜面：害怕上当 （打一节气名）,谜底：小寒
谜面：睛空万里彩云飘 （打二字《红楼梦》人名）,谜底：晴雯
谜面：国父讲稿 （打三字文学体裁）,谜底：文言文
谜面：看颜色漂亮，见声音响亮 （打一字）,谜底：靓
谜面：君臣相见 （打一朝代名）,谜底：南北朝
谜面：皇娘实在傲慢 （打四字常言）,谜底：后果自负
谜面：心系人家生妒忌 （打一字）,谜底：妃
谜面：会心的一笑 （打一字）,谜底：兑
谜面：非洲姑娘 （打二字牙膏品牌）,谜底：黑妹
谜面：满汉全席 （打一字）,谜底：妩
谜面：御医 （打三字古代官职）,谜底：上大夫
谜面：别不高兴 （打二字书名）,谜底：楚辞
谜面：个个相助汗水流 （打一字）,谜底：竿
谜面：酉时一到自然醒 （打一字）,谜底：星
谜面：冰雪半掩塞上路 （打一节气）,谜底：寒露
谜面：改革的火种 （打二字节日名）,谜底：中秋
谜面：酥炸 （打二字节日）,谜底：中秋
谜面：别解方有味 （打一字）,谜底：未
谜面：一人留河东，一人去河西 （打三字电信设备）,谜底：大哥大
谜面：“看！前面还有另一座道院！” （打离合字一）,谜底：又见观
谜面：可杀而不可辱 （打三字节日名）,谜底：护士节
谜面：左边20日，右边30天 （打一字）,谜底：朝
谜面：唐中宗并不难看 （打一成语）,谜底：显而易见
谜面：不得不露头 （打一字）,谜底：杯
谜面：同心改革心不愁 （打二字节日名）,谜底：中秋
谜面：如把泰山倒过来 （打一字）,谜底：仗
谜面：何以仙及鸡犬 （打离合字一）,谜底：一人之达
谜面：冲制可可 （打一词牌名）,谜底：水调歌头
谜面：前轮不见了 （打一字）,谜底：轶
谜面：涂上白，反而黑 （打一字）,谜底：七
谜面：说是姓任 （打二字坚果名）,谜底：杏仁
谜面：虚心一点争上进 （打一节日名）,谜底：七夕
谜面：王羲之愿写《黄庭经》 （打二字动物名）,谜底：企鹅
谜面：挠痒要使劲 （打三字俗语）,谜底：抓重点
谜面：人人动手 （打一字）,谜底：竿
谜面：何以解忧？ （打二字娱乐场所）,谜底：酒吧
谜面：朝来见古庙 （打一字）,谜底：广
谜面：只有海空占优势 （打二字《三国演义》人名）,谜底：陆逊
谜面：汉高祖欲废刘盈 （打一成语）,谜底：称心如意
谜面：好吃，又好玩 （四字饮料品牌）,谜底：可口可乐
谜面：来日是大暑 （打一字）,谜底：奢
谜面：君 （打三字服装名）,谜底：连衣裙
谜面：男人不干我们干 （打一成语，虾须格）,谜底：好自为之
谜面：要案破后客心宽 （打二字城市名）,谜底：西安
谜面：老鼠不见了 （打一字）,谜底：一
谜面：本市一游 （打一字）,谜底：柿
谜面：如有人缘成姻缘 （打一字）,谜底：一
谜面：重逢于六一早上 （打二字神话人名）,谜底：观音
谜面：当头马 （打二字节日）,谜底：端午
谜面：椒红韭绿豆花黄 （打一成语）,谜底：面有菜色
谜面：中山男孩 （打离合字一）,谜底：孙小子
谜面：需要下面团结 （打一字）,谜底：耍
谜面：万般皆下品 （打一学科名）,谜底：高等数学
谜面：低声相依来说媒 （打一字）,谜底：楣
谜面：养儿方能称老子 （打二字食物）,谜底：木耳
谜面：湘莲应知袭人事 （打一成语）,谜底：寻花问柳
谜面：日子变了 （打一字）,谜底：阳
谜面：江头一人称酒仙 （打一省区名）,谜底：山西
谜面：以诚而服之 （打二字军事武器）,谜底：坦克
谜面：多才多艺耍得转 （打二字文体项目）,谜底：杂技
谜面：开心看得见 （打二字互联网公司）,谜底：乐视
谜面：老赵一走开，完全就变样 （打一食品）,谜底：元宵
谜面：园外隐约闻猿叫，小桥星月听萧声 （打一节日）,谜底：元宵
谜面：平桥改造见奇观 （打一字）,谜底：罕
谜面：没点良心人切齿 （打一字）,谜底：恨
谜面：悟空为大八戒二 （打二字城市名）,谜底：三沙
谜面：闻声一惊，并不难过 （打二字古籍）,谜底：易经
谜面：小两口阶前排污水 （打一省份简称）,谜底：鄂
谜面：两张五角旧换新 （打一节日）,谜底：元旦
谜面：存心弄得很荒唐 （打二字节日）,谜底：圣诞
谜面：一出新情况，就想鼓上蚤 （打一成语）,谜底：见异思迁
谜面：南京遇雨心中急 （打一节气）,谜底：小雪
谜面：插翅虎碰倒豹子头 （打一成语）,谜底：横冲直撞
谜面：终日望夫夫不归 （打三字航空术语）,谜底：全天候
谜面：挟天子以令诸侯 （打三字战国人名）,谜底：魏无忌
谜面：仁人有变化 （打二字品牌名）,谜底：大大
谜面：悟净脱逃 （打一物）,谜底：沙漏
谜面：高尔夫球场 （打一成语）,谜底：弹丸之地
谜面：二把手主持全面工作 （打一成语）,谜底：名副其实
谜面：翁处不知道 （打五字电视栏目）,谜底：爸爸去哪儿
谜面：唯独老公称娘子 （打一成语）,谜底：一夫当关
谜面：云长啊云长 （打一成语）,谜底：一语双关
谜面：坚 （打一节日）,谜底：双十一
谜面：鼠年预测 （打一词曲牌名）,谜底：卜算子
谜面：因有身孕难得一见 （打一成语）,谜底：怀才不遇
谜面：手下接令即放箭 （打一成语）,谜底：左右开弓
谜面：害怕公开 （打一节气名）,谜底：寒露
谜面：附加税 （打二字教育用语）,谜底：补课
谜面：“洒家乃七尺男儿也” （打一学科名）,谜底：古代汉语
谜面：前后乃鼓上蚤必经之路 （打一成语）,谜底：时过境迁
谜面：都是主人 （打二字城市名）,谜底：东京
谜面：某男某女 （打一人体部位）,谜底：无名指
谜面：不容分说 （打二字花卉）,谜底：合欢
谜面：一生大笑能几回 （打四字饮料）,谜底：非常可乐
谜面：甲申千里共婵娟 （打四字口语）,谜底：猴年马月
谜面：清风拂面中秋夜 （打一成语）,谜底：发扬光大
谜面：谜作不雅如武大之态 （打三字《水浒传》人物绰号）,谜底：矮脚虎
谜面：话说秦琼 （打三字南北朝人名）,谜底：陈叔宝
谜面：带头哭 （打二字语文名词）,谜底：引号
谜面：再三问来源 （打一贵州地名）,谜底：六盘水
谜面：弑君乃大逆不道 （打一成语）,谜底：伤天害理
谜面：枝头一点清风里，柳线三垂疏雨中。 （打一城市名）,谜底：杭州
谜面：变相回扣不堪入目 （打一字）,谜底：操
谜面：天下无俗人 （打一节气名）,谜底：谷雨
谜面：广播降温消息 （打一汉代人名，白头格）,谜底：韩信
谜面：你拍一，我拍一。 （打四字排球术语）,谜底：双人双打
谜面：脸上长斑心烦恼 （打五字口语）,谜底：有点不高兴
谜面：睹两边，打中间。 （打三字称谓）,谜底：目击者
谜面：男人的世界 （打二字体育用语）,谜底：女排
谜面：六一之夜 （打二字节日）,谜底：七夕
谜面：实习烫发 （打二字教育名词）,谜底：试卷
谜面：多半出于虚心 （打二字节日）,谜底：七夕
谜面：一日恰逢兄台来 （打一字）,谜底：比
谜面：从头到尾没来过重庆 （打一成语）,谜底：始终不渝
谜面：曲径长亭外，斜雁西湖边。 （打二字股市用语）,谜底：涨停
谜面：莲花池·白头格 （打一山东地名）,谜底：菏泽
谜面：要上南岳打秋千 （打一中国地名，二字）,谜底：山西
谜面：莲花初放正暑天 （打二字中药名）,谜底：茯苓
谜面：无人像我乐陶陶 （打一省份简称）,谜底：豫
谜面：小女月下多娇俏 （打一字）,谜底：侨
谜面：火箭枚重三万斤 （打一成语）,谜底：一发千钧
谜面：孤军作战 （打二字体育用语）,谜底：单打
谜面：更上一层楼 （打一《西游记》人名）,谜底：千里眼
谜面：航空送信 （打一江苏地名）,谜底：高邮
谜面：碰头便出丑 （打二字电脑名词）,谜底：硬件
谜面：冠军亚军 （打四字数学用语）,谜底：一元一次
谜面：古迹 （打二字秦代人名）,谜底：陈胜
谜面：错抛媚眼 （打四字体育用语）,谜底：传球失误
谜面：小小先生 （打二字称谓）,谜底：幼师
谜面：二人提前会小妹 （打一秦朝人名）,谜底：扶苏
谜面：平原君 （打二字旅游名词）,谜底：名胜
谜面：工业一定要改革 （打一旅游城市）,谜底：三亚
谜面：局部整容 （打五字生物用语）,谜底：不完全变态
谜面：媳妇走后每称孤 （打二字神话人物）,谜底：嫦娥
谜面：报名敬老院 （打六字电影名）,谜底：一个都不能少
谜面：直达车 （打二字节日名）,谜底：七一
谜面：自友一去容貌变 （打一节气名）,谜底：夏至
谜面：孔子生日 （打一节日名）,谜底：圣诞
谜面：擅长演说 （打一交通设施）,谜底：人行道
谜面：测验太多 （打二字教育用语）,谜底：考勤
谜面：理发之后又美容 （打一成语）,谜底：改头换面
谜面：都说价格上涨 （打四字地理名词）,谜底：云贵高原
谜面：项羽称霸 （打一云南地名）,谜底：楚雄
谜面：离别心添愁 （打一节气）,谜底：秋分
谜面：哑巴吃黄连 （打一成语）,谜底：不辞辛苦
谜面：兵发东吴 （打一法律名词）,谜底：侵权行为
谜面：三方提前 （打一法律名词）,谜底：回扣
谜面：青天作媒结良缘 （打四字法律词语）,谜底：包办婚姻
谜面：小朋友要俭省 （打一节日）,谜底：儿童节
谜面：娇滴滴一声 （打四字体育项目）,谜底：女子柔道
谜面：连累了红孩儿 （打三字中药名）,谜底：牵牛子
谜面：寄真心于笔下 （打一现代文人）,谜底：三毛
谜面：三十出头的男人 （打二字节日）,谜底：端阳
谜面：义务导游 （打二字医学名词）,谜底：白带
谜面：齐口称颂长不绝 （打三字北宋人名）,谜底：呼延赞
谜面：无法答下联 （打三字礼貌用语）,谜底：对不起
谜面：囹 （打三字民间游戏）,谜底：绕口令
谜面：各项工作都光荣 （打俗语三字）,谜底：行行好
谜面：姑娘性行淑静 （打四字体育项目）,谜底：女子举重
谜面：口齿清楚 （打一影视演员）,谜底：陈道明
谜面：专治感冒 （打三字医学用语）,谜底：破伤风
谜面：红孩儿 （打《水浒传》人名绰号一）,谜底：铁扇子
谜面：外孙真健美 （打离合字）,谜底：女子好
谜面：此公乃老将汉升 （打二字中药）,谜底：雄黄
谜面：声称掌握了一半 （打一字）,谜底：撑
谜面：何日燕归来 （打二字生物名词）,谜底：候鸟
谜面：十月怀胎 （打一学科名）,谜底：体育
谜面：小米二字重新搭配 （打二字食物）,谜底：粽
谜面：远离二奶小三 （打一成语，掉尾格）,谜底：不近人情
谜面：边声四起 （打一宁夏地名）,谜底：中宁
谜面：九九重阳 （打一汽车品牌）,谜底：本田
谜面：出淤泥而不染 （打一台湾地名，秋千格）,谜底：花莲
谜面：潘金莲暗中勾结西门庆 （打一成语）,谜底：大难临头
谜面：三而竭 （打《三字经》一句）,谜底：师之惰
谜面：翻手上篮得十分 （打一物，二字）,谜底：毛笔
谜面：劳动竞赛 （打一夏商人名）,谜底：比干
谜面：童装 （打俗语五字）,谜底：少来这一套
谜面：长得漂亮 （打一汽车品牌）,谜底：标致
谜面：乡村四月闲人少 （打一节气，白头格）,谜底：芒种
谜面：世上能有几人闲 （打一成语，卷帘格）,谜底：累见不鲜
谜面：多云无雨 （打三字酒名）,谜底：老白干
谜面：八戒大闹通天河 （打一食品名）,谜底：猪下水
谜面：温酒斩华雄 （打离合字）,谜底：刀至人倒
谜面：一见美色忘伤疼 （打一成语，卷帘格）,谜底：痛不欲生
谜面：王佐行使苦肉计 （打三字俗语）,谜底：留一手
谜面：二桃之争 （打四字《水浒传》人物诨名）,谜底：拼命三郎
谜面：苏武归汉心欢喜 （打俗语三字）,谜底：别胡说
谜面：枯木逢春 （打一五代十国人名）,谜底：柴荣
